Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Ab Lah et al 2018,2018,1,Mollusca,Gastropoda,Turbo militaris,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,30.29618,153.144421,30.29618,1,Australia,Marine,Tropical,Spring,Temp,Increase,25,3,22,Constant,0,0,None,None,0,38,0,38,No,Lab,Ind,Yes,Overall Health,Condition index,1,60.93,8.6,60.64,6.65,(±SE),25.8,19.95,Tab. 1a,9,9
Abramovitch et al 2002,2002,2,Cnidaria,Cnidaria,Stylophora pistillata,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Heterotroph,Animal,No,1,Adult,native,29.502002,34.917916,29.502002,1,Israel,Marine,Mediterranean,Winter,Temp,Increase,31,3,28,Constant,8,1,Day,Day,8,5,3,16,Yes,Lab,Ind,No,,,,,,,,,,,,,
Agius 2003,2003,2,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,42.41855,-70.908009,42.41855,1,USA,Marine,Temperate,Summer,Temp,Increase,17.4,1.8,15.6,Unknown,0,0,None,None,0,121.667,0,121.667,No,Lab,Ind,No,,,,,,,,,,,,,
Agius 2003,2003,2,Chordata,Tunicata,Diplosoma listerianum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,42.41855,-70.908009,42.41855,1,USA,Marine,Temperate,Summer,Temp,Increase,17.4,1.8,15.6,Unknown,0,0,None,None,0,121.667,0,121.667,No,Lab,Ind,No,,,,,,,,,,,,,
Agius 2007,2007,2,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,41.525489,-70.670291,41.525489,2,USA,Marine,Temperate,Summer,Temp,Increase,17.4,3.3,14.1,Gradual,7,0,None,None,0,122,0,122,No,Field,Ind,Yes,Growth,Growth,1,31.624,7.1874,26.4605,7.4808,(±SE),22.72855445,23.65636672,Fig. 3,10,10
Agius 2007,2007,2,Chordata,Tunicata,Diplosoma listerianum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,41.525489,-70.670291,41.525489,2,USA,Marine,Temperate,Summer,Temp,Increase,17.4,3.3,14.1,Gradual,7,0,None,None,0,122,0,122,No,Field,Ind,Yes,Growth,Growth,1,75.4909,7.7626,35.1049,6.6432,(±SE),24.54749656,21.00764295,Fig. 3,10,10
Alsterberg et al 2013,2013,5,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,1,Adult,native,58.249879,11.444888,58.249879,1,Sweden,Esturine,Temperate,Summer,Temp,Increase,24,4,20,Flucuating,7,0,None,None,0,35,0,35,No,Lab,Int,No,,,,,,,,,,,,5,5
Anaclto et al 2014,2014,2,Mollusca,Bivalvia,Ruditapes decussatus,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,38.496414,-8.7413101,38.496414,1,Portugal,Marine,Mediterranean,Summer,Temp,Increase,38,16,22,Ramping,7,1,Hour,Hour,0.666667,0.6875,0,1.354167,No,Lab,Ind,No,,,,,,,,,,,,20,20
Anaclto et al 2014,2014,2,Mollusca,Bivalvia,Ruditapes philippinarum,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.496414,-8.7413101,38.496414,1,Portugal,Marine,Mediterranean,Summer,Temp,Increase,38,16,22,Ramping,7,1,Hour,Hour,0.666667,0.6875,0,1.354167,No,Lab,Ind,No,,,,,,,,,,,,20,20
Ashton et al 2007,2007,1,Arthropoda,Crustacea,Caprella mutica,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,nns,56.458292,-5.43856,56.458292,1,UK,Esturine,Temperate,Summer,Sal,Decrease,8,27,35,Constant,2,0,None,None,0,2,0,2,No,Lab,Pop,No,,,,,,,,,,,,,
